package name,downloaded,pure VTO,image sent to 3rd party server,image confirmed to be stored,privacy policy,violation type,uses VTO provider which breaches privacy policy,violation type
com.amazon.mShop.android.shopping,500m+,no,no,no,not violated,,not violated,
your.fitapp,1k+,yes,yes,no,violated,4,not violated,-
com.ingka.ikea.app,10m+,no,no,yes,ambiguous,-,not violated,-
com.xl.apps.virtual.glass.tryon,100k+,yes,no,no,not violated,-,not violated,-
com.zennioptical.app,500k+,yes,yes,no,not violated,-,not violated,-
com.lenskart.app,10m+,yes,yes,yes,violated,2,not violated,-
skglobal.product.glasson,100k+,yes,no,no,not violated,-,not violated,-
com.PrimoLook.App,10k+,yes,no,no,not violated,-,not violated,-
com.perfectcorp.amb,1m+,yes,no,no,not violated,-,not violated,-
skglobal.product.glasson.binocle,5k+,yes,no,no,not violated,-,not violated,-
by.vipit.shopping.fashion.goodstyle_pro,10k+,yes,yes,no,ambiguous,-,not violated,-
com.cyberlink.youcammakeup,100m+,yes,no,no,not violated,-,not violated,-
com.ulta,5m+,yes,no,no,not violated,-,not violated,-
com.arcsoft.perfect365,50m+,yes,no,no,not violated,-,not violated,-
com.meitu.makeup,50m+,yes,no,no,not violated,-,not violated,-
com.zhanlang.changehaircut,1m+,yes,no,no,not violated,-,not violated,-
tattoo.inkhunter,5m+,yes,no,no,not violated,-,not violated,-
com.standysoftware.colorstyle,500k+,yes,no,no,not violated,-,not violated,-
com.follow.ElfCosmetics,100k+,yes,no,no,not violated,-,not violated,-
com.ipol.arviewer.app,50k+,yes,no,no,not violated,-,not violated,-
com.ar.augment,1m+,yes,no,no,not violated,-,not violated,-
com.grymala.aruler,10m+,yes,no,no,not violated,-,not violated,-
com.eyebuydirect.www.twa,10k+,yes,no,no,not violated,-,not violated,-
com.grailify.grailify,500k+,no,no,no,not violated,-,not violated,-
com.target.ui,10m+,no,no,no,not violated,-,not violated,-
com.houzz.app,10m+,yes,no,no,not violated,-,not violated,-
com.arty.artyhome,10k+,yes,no,no,not violated,-,not violated,-
com.gucci.gucciapp,1m+,no,no,no,not violated,-,not violated,-
